WIN,POST,YEAR,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,W,L,SV,HLD,WPCT,IP,H_A,HR_A,BB_A,HBP_A,SO_A,R_A,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_A,2B_A,3B_A,SAC_A,SF_A,IBB_A,WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB_A,CS_A,CS%,SBA,SB,CS,SB%,OOB,PKO
N,N,2010,넥센,0.262,133,5139,4452,570,1165,199,20,87,1665,539,95,43,480,16,68,874,119,0.374,0.340,0.714,132,0.268,0.221,4.55,52,78,27,39,0.400,1185.66,1162,122,614,95,832,652,599,1.50,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3,93,17,3557,1515,148,0.982,9,160,68,29.8,191,135,56,70.7,56,5
N,Y,2010,두산,0.281,133,5252,4538,731,1276,224,25,149,1997,706,54,38,533,27,89,834,97,0.440,0.365,0.805,133,0.284,0.210,4.62,73,57,30,56,0.562,1179.66,1190,135,437,85,888,669,606,1.38,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2,91,11,3539,1455,112,0.982,8,119,44,27.0,189,128,61,67.7,56,12
N,Y,2010,롯데,0.288,133,5261,4673,773,1345,220,16,185,2152,739,60,41,420,15,67,873,105,0.461,0.352,0.813,133,0.315,0.202,4.82,69,61,21,37,0.531,1194,1291,149,419,78,779,710,640,1.43,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3,102,11,3582,1680,130,0.981,6,131,62,32.1,175,124,51,70.9,62,7
N,Y,2010,삼성,0.272,133,5287,4436,681,1207,212,14,118,1801,630,111,44,621,29,75,916,111,0.406,0.368,0.774,133,0.265,0.247,3.94,79,52,33,44,0.603,1193.66,1168,103,453,54,951,575,523,1.36,2,7,35,12,5119,19811,0.260,203,20,84,38,11,61,3,92,12,3581,1369,118,0.982,6,134,65,32.7,213,158,55,74.2,54,8
N,N,2010,한화,0.244,133,5009,4321,543,1053,160,13,104,1551,508,75,33,497,10,80,943,106,0.359,0.331,0.690,133,0.263,0.172,5.43,49,82,24,28,0.374,1169.33,1290,146,551,72,806,763,705,1.57,6,6,46,9,5267,20322,0.286,229,14,85,41,17,65,5,80,10,3508,1448,127,0.984,7,151,58,27.8,191,121,70,63.4,56,11
N,N,2010,KIA,0.260,133,5166,4416,611,1148,190,17,106,1690,574,109,33,523,14,85,865,110,0.383,0.347,0.730,133,0.263,0.165,4.39,59,74,25,40,0.444,1183.66,1227,93,468,81,885,641,577,1.43,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4,86,8,3551,1493,118,0.983,4,156,48,23.5,169,117,52,69.2,48,14
N,N,2010,LG,0.276,133,5270,4604,688,1270,223,17,121,1890,652,82,44,486,25,54,907,97,0.411,0.349,0.760,133,0.287,0.192,5.23,57,71,31,59,0.445,1188,1279,125,560,104,793,746,690,1.55,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6,92,9,3564,1573,167,0.982,7,124,66,34.7,225,169,56,75.1,58,15
Y,Y,2010,SK,0.274,133,5213,4439,704,1217,222,16,120,1831,648,147,44,485,25,98,813,86,0.412,0.355,0.767,132,0.284,0.243,3.71,84,47,36,39,0.641,1198.33,1074,117,543,47,1091,545,494,1.35,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2,81,6,3595,1400,126,0.984,7,109,59,35.1,230,161,69,70.0,51,13
N,N,2011,넥센,0.245,133,4989,4343,512,1065,187,23,79,1535,472,103,32,460,16,51,992,94,0.353,0.323,0.676,132,0.252,0.212,4.36,51,80,30,66,0.389,1171.33,1167,81,601,76,830,622,568,1.51,0,10,44,13,5195,20610,0.268,194,20,115,46,16,73,1,96,8,3514,1495,142,0.981,14,175,68,28.0,154,99,55,64.3,47,11
N,N,2011,두산,0.271,133,5204,4498,614,1221,196,27,92,1747,578,73,39,513,17,81,799,118,0.388,0.354,0.742,133,0.279,0.190,4.26,61,70,34,46,0.466,1188.66,1231,96,476,75,855,619,563,1.44,4,7,51,12,5170,20081,0.276,198,30,110,45,19,70,6,81,9,3566,1463,132,0.984,6,96,71,42.5,187,130,57,69.5,70,3
N,Y,2011,롯데,0.288,133,5234,4599,713,1324,226,30,111,1943,666,61,44,466,19,64,836,124,0.422,0.358,0.780,133,0.290,0.229,4.20,72,56,27,45,0.563,1187,1256,113,430,58,787,619,554,1.42,3,6,67,15,5114,19624,0.280,202,13,102,31,19,62,4,106,10,3561,1576,165,0.980,7,88,60,40.5,170,112,58,65.9,56,5
Y,Y,2011,삼성,0.259,133,5145,4437,625,1150,193,20,95,1668,585,73,43,522,23,69,940,97,0.376,0.343,0.719,132,0.262,0.167,3.35,79,50,48,74,0.612,1196.33,1191,92,395,38,841,513,445,1.33,1,12,65,8,5077,19378,0.263,183,19,87,30,8,40,5,75,5,3589,1298,115,0.985,6,91,50,35.5,209,158,51,75.6,54,9
N,N,2011,한화,0.255,133,5085,4367,568,1112,160,14,93,1579,536,130,25,488,14,74,906,93,0.362,0.338,0.700,133,0.287,0.212,5.11,59,72,26,36,0.450,1175,1273,128,524,55,938,727,667,1.53,4,6,44,12,5280,20442,0.278,223,18,79,44,10,91,2,82,4,3525,1284,104,0.983,6,136,36,20.9,176,100,76,56.8,42,13
N,Y,2011,KIA,0.269,133,5129,4373,627,1177,204,15,106,1729,597,109,34,554,11,59,782,110,0.395,0.357,0.752,133,0.280,0.203,4.10,70,63,29,37,0.526,1163.66,1117,87,457,76,920,580,530,1.35,7,10,59,10,4991,19327,0.257,207,18,92,25,14,51,6,67,8,3491,1400,126,0.986,5,120,48,28.6,151,113,38,74.8,48,7
N,N,2011,LG,0.266,133,5158,4522,579,1203,192,15,94,1707,539,86,37,463,15,49,858,106,0.377,0.338,0.715,133,0.271,0.169,4.15,59,72,30,50,0.450,1193.66,1173,80,512,71,827,620,550,1.41,2,11,57,15,5209,19771,0.261,206,28,98,34,20,52,6,97,11,3581,1417,131,0.981,20,110,51,31.7,168,116,52,69.0,53,4
N,Y,2011,SK,0.263,133,5124,4404,584,1157,204,18,100,1697,561,147,36,470,15,67,891,88,0.385,0.340,0.725,133,0.263,0.238,3.59,71,59,37,63,0.546,1192.33,1001,93,541,65,1006,522,476,1.29,1,9,34,15,5032,20130,0.233,149,16,99,35,24,64,3,68,5,3577,1378,124,0.986,6,93,64,40.8,166,105,61,63.3,46,9
N,N,2012,넥센,0.243,133,5021,4338,549,1056,189,28,102,1607,509,92,43,476,17,72,892,79,0.370,0.325,0.695,132,0.261,0.154,3.83,61,69,36,34,0.469,1187.33,1131,80,535,74,853,551,505,1.40,3,6,64,11,5116,19743,0.259,202,18,104,43,9,62,0,78,12,3562,1510,145,0.985,7,170,54,24.1,251,179,72,71.3,53,16
N,Y,2012,두산,0.260,133,4938,4379,524,1139,172,26,59,1540,490,102,40,362,12,54,659,129,0.352,0.322,0.674,132,0.286,0.201,3.58,68,62,38,47,0.523,1193.33,1053,66,491,57,802,519,475,1.29,9,12,80,14,5012,19215,0.243,198,23,99,34,17,57,4,78,11,3580,1472,124,0.985,12,101,68,40.2,167,116,51,69.5,62,10
N,Y,2012,롯데,0.263,133,5043,4481,509,1179,202,16,73,1632,479,107,26,375,19,54,890,91,0.364,0.326,0.690,133,0.261,0.194,3.48,65,62,39,63,0.512,1190.33,1145,74,469,53,825,518,460,1.36,3,9,57,15,5070,19536,0.259,162,7,96,30,20,65,1,83,8,3571,1469,119,0.984,4,109,61,35.9,172,119,53,69.2,46,7
Y,Y,2012,삼성,0.272,133,5161,4436,628,1205,200,26,89,1724,585,91,47,500,19,86,813,91,0.389,0.353,0.742,132,0.273,0.169,3.39,80,51,39,71,0.611,1187.66,1085,65,384,37,885,473,448,1.24,3,13,67,5,4941,19074,0.247,196,21,82,43,14,46,5,67,13,3563,1337,105,0.987,7,122,49,28.7,173,125,48,72.3,63,8
N,N,2012,한화,0.249,133,5057,4331,509,1077,208,12,71,1522,479,100,27,538,17,61,907,102,0.351,0.338,0.689,133,0.253,0.219,4.55,53,77,29,54,0.408,1172.33,1148,106,488,68,936,647,593,1.40,3,6,60,12,5092,19601,0.263,186,14,121,47,18,82,3,73,3,3517,1428,104,0.985,9,165,60,26.7,160,107,53,66.9,50,16
N,N,2012,KIA,0.256,133,5131,4348,553,1112,197,19,54,1509,518,132,47,544,18,60,790,100,0.347,0.343,0.690,132,0.267,0.178,3.90,62,65,27,33,0.488,1183.66,1161,69,452,68,822,564,513,1.36,11,15,74,18,5101,19344,0.262,229,23,112,38,13,56,6,88,7,3551,1498,122,0.983,7,107,49,31.4,183,132,51,72.1,51,8
N,N,2012,LG,0.261,133,5180,4539,544,1184,212,18,59,1609,512,80,50,458,19,53,857,107,0.354,0.332,0.686,132,0.253,0.197,4.02,57,72,35,64,0.442,1202,1235,65,422,71,735,580,537,1.38,1,11,48,10,5188,19186,0.272,203,35,116,41,23,57,6,96,12,3606,1558,125,0.982,8,126,65,34.0,197,140,57,71.1,61,6
N,Y,2012,SK,0.258,133,4996,4347,564,1120,197,15,108,1671,523,118,28,445,19,58,864,85,0.384,0.333,0.717,131,0.256,0.197,3.82,71,59,40,69,0.546,1181.33,1114,90,457,70,814,528,502,1.33,0,10,54,15,5007,19078,0.256,201,19,92,32,26,35,7,63,9,3544,1414,143,0.987,6,95,54,36.2,179,104,75,58.1,57,4
N,Y,2013,넥센,0.272,128,5015,4294,646,1167,209,11,125,1773,607,76,42,505,12,98,912,94,0.413,0.358,0.771,127,0.280,0.200,4.12,72,54,50,70,0.571,1146.33,1160,75,503,84,860,576,525,1.45,0,7,53,12,4996,19638,0.270,202,21,71,37,8,52,3,97,15,3439,1463,142,0.981,11,133,65,32.8,196,131,65,66.8,55,14
N,Y,2013,두산,0.289,128,5142,4401,699,1271,217,37,95,1847,654,82,56,524,19,79,717,105,0.420,0.370,0.790,128,0.289,0.295,4.57,71,54,30,42,0.568,1150.33,1183,84,514,76,848,625,584,1.48,1,8,44,17,5043,19707,0.272,207,30,67,39,10,55,6,61,6,3451,1372,133,0.988,8,114,59,34.1,233,172,61,73.8,53,15
N,N,2013,롯데,0.261,128,4978,4289,556,1118,208,18,61,1545,522,74,41,502,22,72,862,92,0.360,0.345,0.705,128,0.259,0.279,3.93,66,58,38,64,0.532,1149.33,1148,84,489,62,820,553,502,1.42,1,11,68,21,4986,19418,0.267,180,13,94,36,15,45,0,98,26,3448,1449,114,0.980,2,113,66,36.9,191,133,58,69.6,66,12
Y,Y,2013,삼성,0.283,128,5042,4370,669,1235,212,17,113,1820,624,84,41,453,9,93,818,98,0.416,0.359,0.775,128,0.298,0.208,3.98,75,51,31,49,0.595,1146.66,1119,98,411,60,955,545,507,1.33,2,5,70,7,4896,19250,0.259,194,21,70,29,12,44,4,76,12,3440,1226,113,0.984,8,128,46,26.4,136,95,41,69.9,58,6
N,N,2013,한화,0.259,128,4915,4271,480,1106,212,13,47,1485,448,54,30,479,11,80,933,140,0.348,0.343,0.691,128,0.253,0.211,5.31,42,85,22,34,0.331,1129,1195,98,532,95,822,711,666,1.53,2,2,34,8,5073,19471,0.276,227,32,78,43,17,89,8,74,5,3387,1301,103,0.984,12,159,56,26.0,119,70,49,58.8,56,9
N,N,2013,KIA,0.261,128,5051,4318,587,1125,195,13,88,1610,545,78,42,537,8,75,864,110,0.373,0.349,0.722,127,0.258,0.240,5.12,51,74,32,50,0.408,1142.33,1307,88,532,76,923,711,650,1.61,2,3,48,12,5200,20309,0.293,259,28,79,48,12,73,6,71,10,3427,1318,103,0.985,10,193,57,22.8,188,141,47,75.0,50,7
N,Y,2013,LG,0.282,128,4934,4291,616,1210,194,38,59,1657,574,91,42,451,11,59,806,80,0.386,0.355,0.741,128,0.295,0.252,3.72,74,54,42,86,0.578,1134.66,1131,74,406,87,822,510,469,1.35,4,9,55,11,4848,18714,0.266,183,20,59,38,27,46,2,77,14,3404,1436,165,0.984,8,123,51,29.3,210,139,71,66.2,69,17
N,N,2013,NC,0.244,128,4866,4282,512,1045,209,25,86,1562,485,55,31,434,11,62,955,94,0.365,0.320,0.685,127,0.257,0.176,3.96,52,72,26,31,0.419,1144.33,1077,96,458,94,857,551,503,1.34,5,5,74,21,4919,19087,0.254,176,15,84,50,13,60,6,93,10,3433,1373,121,0.981,8,87,55,38.7,189,142,47,75.1,35,19
N,N,2013,SK,0.265,128,4950,4278,588,1134,189,20,124,1735,558,83,37,465,26,86,918,99,0.406,0.346,0.752,128,0.266,0.245,4.16,62,63,31,38,0.496,1139,1091,101,505,70,878,571,527,1.40,4,8,65,17,4932,19108,0.257,217,12,75,42,15,66,5,84,14,3417,1350,128,0.983,11,81,47,36.7,207,144,63,69.6,42,13
N,Y,2014,넥센,0.298,128,5163,4434,841,1323,275,31,199,2257,786,65,40,523,10,101,849,100,0.509,0.382,0.891,128,0.286,0.233,5.25,78,48,35,55,0.619,1131.66,1299,142,516,61,901,716,660,1.60,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4,79,12,3395,1342,125,0.984,7,118,44,27.2,144,100,44,69.4,54,13
